STUDENT NO.,T1,T2,T3,Q1,Q2,Q3,Best Quiz,SM
202216394,26,36,,10,4,6,10,"65,8"
202216402,27,37,,6,6,6,6,"63,6"
202216468,23,20,,10,4,,10,"48,7"
202217403,16,11,25,10,6,,10,"41,2"
202218168,25,19,"34,5",10,10,6,10,"57,1"
202218241,27,25,,8,,8,8,"54,8"
202218362,12,11,17,8,8,6,8,32
202219240,29,"35,5",,6,6,,6,"64,05"
202219631,24,29,,8,6,,8,"55,7"
202219947,33,46,,8,8,6,8,"79,1"
202221122,26,37,,10,6,10,10,"66,7"
202221138,25,27,,8,8,,8,"54,8"
202221532,24,30,,6,10,,10,"58,6"
202221538,,,,8,,,8,8
202221764,38,30,,10,8,,10,"71,2"
202222345,20,34,,10,6,,10,"58,6"
202222839,32,42,,6,8,,8,"74,6"
202223208,11,19,34,10,8,8,10,"48,4"
202223609,28,28,,4,4,6,6,"56,4"
202223797,10,19,,10,8,,10,40
202223881,32,25,,10,8,10,10,"61,3"
202224402,38,33,,8,8,6,8,"71,9"
202224777,30,41,,6,8,,8,"71,9"
202225910,16,38,,10,8,6,10,"58,6"
202226170,31,31,,10,4,,10,"65,8"
202227933,46,45,,8,2,,8,"89,9"
202228612,23,30,,10,6,6,10,"57,7"
202229056,15,"25,5",,10,,10,10,"46,45"
202229683,12,15,24,10,8,6,10,41
202232164,20,39,,4,6,,6,"59,1"
202232168,33,34,,8,6,,8,"68,3"
202232318,18,38,,10,6,6,10,"60,4"
202232989,29,35,,10,6,10,10,"67,6"
202233276,6,25,25,4,6,6,6,40
202233518,32,26,,8,4,10,10,"62,2"
202234493,21,20,,0,7,,7,"43,9"
202234585,26,35,,8,8,6,8,"62,9"
202234784,24,29,,6,6,6,6,"53,7"
202235165,24,29,,6,8,,8,"55,7"
202235861,32,24,,8,8,,8,"58,4"
202237007,10,14,11,6,,,6,27
202238594,22,17,,8,6,8,8,"43,1"
202239262,20,"36,5",,4,4,6,6,"56,85"
202239660,35,39,,4,6,,6,"72,6"
202240056,41,51,,4,8,,8,"90,8"
202242374,26,"39,5",,10,6,,10,"68,95"
202243426,11,11,,10,8,,10,"29,8"
202243764,10,28,26,10,6,8,10,"48,4"
202243797,24,16,,8,6,,8,44
202243831,34,33,,6,8,,8,"68,3"
202245419,37,34,,6,6,6,6,"69,9"
202245903,24,27,,0,6,,6,"51,9"
202246076,25,31,,10,2,,10,"60,4"
202246859,14,39,,10,6,,10,"57,7"
202247419,23,28,,4,6,10,10,"55,9"
202247878,16,16,,8,4,,8,40
202248175,15,26,26,6,8,,8,"48,2"
202248450,27,37,,10,6,6,10,"67,6"
202248709,20,"31,5",,10,6,,10,"56,35"
202248978,19,51,,4,8,10,10,73
202249042,14,27,21,10,8,,10,"47,2"
202249060,23,34,,10,6,10,10,"61,3"
202249073,14,,13,6,6,,6,"30,3"
202249399,37,30,,4,10,,10,"70,3"
202249403,27,34,,4,,10,10,"64,9"
202251147,25,"27,5",,10,6,10,10,"57,25"
202251217,44,"39,5",,6,4,,6,"81,15"
202253107,33,39,,4,6,10,10,"74,8"
202253867,35,32,,8,2,8,8,"68,3"
202255158,11,22,19,10,10,10,10,"41,2"
202256253,42,42,,8,10,,10,"85,6"
202256301,29,35,,8,4,6,8,"65,6"
202256529,7,13,,6,4,,6,24
202256966,,,,0,,,0,
202257198,26,40,,8,10,,10,"69,4"
202257314,16,47,,10,2,6,10,"66,7"
202257572,21,34,,10,8,10,10,"59,5"
202259693,25,"25,5",,10,4,,10,"55,45"
202260383,32,29,,10,6,,10,"64,9"
202261599,30,44,,10,6,6,10,"76,6"
202261693,46,32,,8,4,,8,"78,2"
202261822,23,37,,10,6,0,10,64
202261913,14,20,12,8,6,6,8,40
202262882,12,8,,0,,,0,18
202263666,19,"28,5",,8,8,,8,"50,75"
202264106,39,43,,10,4,,10,"83,8"
202265062,34,45,,10,10,,10,"81,1"
202266195,22,22,26,8,6,,8,50
202268941,23,"35,5",,8,6,8,8,"60,65"
202269499,13,33,27,10,8,8,10,"53,8"
202269687,27,39,,10,6,,10,"69,4"
202269721,25,"45,5",,6,,6,6,"69,45"
202270529,20,35,,10,6,10,10,"59,5"
202270547,28,35,,10,6,,10,"66,7"
202270602,9,19,,10,8,,10,40
202271431,20,14,,10,6,10,10,41
202274138,30,35,,6,6,,6,"64,5"
202276175,35,35,,6,6,,6,69
202276662,21,23,,6,4,,6,"45,6"
202276698,11,27,24,10,8,8,10,"47,2"
202276792,32,50,,6,6,,6,"79,8"
202276810,22,36,35,10,6,10,10,"65,8"
202277141,17,26,,6,6,6,6,"44,7"
202277336,21,29,,10,6,,10,55
202277693,44,46,,0,8,,8,89
202277694,10,"24,5",18,10,8,,10,"41,5"
202277697,34,"37,5",,10,6,4,10,"74,35"
202277745,35,17,,10,6,6,10,"56,8"
202277764,29,27,,8,6,,8,"58,4"
202309386,31,47,,8,6,8,8,"78,2"
202312289,33,34,,10,8,6,10,"70,3"
202314085,35,36,,2,8,8,8,"71,9"
202314857,26,34,,10,6,,10,64
202315364,27,33,,4,8,8,8,62
202315524,29,39,,0,6,8,8,"69,2"
202316364,26,34,,0,6,10,10,64
202316798,15,36,,8,6,,8,"53,9"
202318435,30,"38,5",,10,6,,10,"71,65"
202320684,35,44,,8,10,,10,"81,1"
202322101,25,35,,4,6,10,10,64
202322436,36,26,,8,8,6,8,"63,8"
202323251,27,48,,0,8,8,8,"75,5"
202323784,28,35,,6,6,,6,"62,7"
202324188,18,23,,10,,8,10,"46,9"
202325353,43,33,,8,6,,8,"76,4"
202326425,50,29,,6,6,,6,"77,1"
202326803,36,32,,10,8,,10,"71,2"
202328724,40,44,,6,2,8,8,"83,6"
202329274,25,43,,10,6,,10,"71,2"
202329788,44,51,,10,4,8,10,"95,5"
202330723,24,26,28,4,10,10,10,"56,8"
202331440,,,,0,,,0,
202336266,31,40,,10,8,,10,"73,9"
202337016,23,33,,10,8,,10,"60,4"
202339666,34,"35,5",,10,8,8,10,"72,55"
202339839,21,9,,8,8,,8,40
202340956,39,35,,10,6,,10,"76,6"
202341132,10,19,16,8,8,,8,40
202342609,27,20,,10,8,8,10,"52,3"
202343153,23,39,,10,8,,10,"65,8"
202343521,17,29,,10,4,8,10,"51,4"
202344168,27,30,,8,6,10,10,"61,3"
202344883,26,34,,4,10,,10,64
202348115,19,29,,10,6,,10,"53,2"
202350395,23,"24,5",,10,8,,10,"52,75"
202351154,34,35,,10,6,,10,"72,1"
202351359,21,29,,8,8,,8,53
202351808,19,22,,6,8,6,8,"44,9"
202353715,28,31,,8,6,,8,"61,1"
202354142,40,44,,8,8,,8,"83,6"
202354337,21,22,31,10,8,6,10,"54,4"
202355478,14,21,33,8,8,,8,"48,8"
202356086,23,28,,8,4,8,8,"53,9"
202356826,19,38,,8,4,6,8,"59,3"
202357681,22,43,,10,8,,10,"68,5"
202357772,35,40,,8,8,4,8,"75,5"
202359214,21,29,,0,6,10,10,55
202359548,27,34,,6,8,10,10,"64,9"
202361071,32,"33,5",,10,2,10,10,"68,95"
202365943,33,27,,10,2,,10,64
202368896,3,35,28,6,4,,6,"45,6"
202373713,35,"27,5",,8,10,,10,"66,25"
202374205,26,36,,10,6,,10,"65,8"
202376632,28,36,,10,8,8,10,"67,6"
202379542,21,,,8,,,8,"45,8"
202380576,24,35,,10,8,6,10,"63,1"
202382392,30,37,,10,8,8,10,"70,3"
